"id";"fci";"hund";"wamiz";"woopets";"chien";"hund_identifiant";"hund_id";"hund_name";"hund_weight";"hund_height";"hund_age";"woopets_identifiant";"woopets_nom";"woopets_type_de_poils";"woopets_pays";"woopets_gabarit";"woopets_forme_tete";"woopets_poids_fem";"woopets_taille_fem";"woopets_poids_mal";"woopets_taille_mal";"woopets_caractere";"woopets_comportementautres";"woopets_education";"woopets_conditionsvie";"woopets_sante";"woopets_entretien";"woopets_activite";"woopets_affectueux";"woopets_calme";"woopets_protecteur";"woopets_independant";"woopets_chasseur";"woopets_aboie_hurle";"woopets_cohabitation_avec_les_enfants";"woopets_sociable_avec_les_autres_animaux";"woopets_aime_les_etrangers";"woopets_intelligent";"woopets_obeissant";"woopets_adapte_a_la_vie_en_appartement";"woopets_bien_pour_les_nouveaux_maitres";"woopets_aime_le_chaud";"woopets_aime_le_froid";"woopets_solide";"woopets_facilite_a_prendre_du_poids";"woopets_facilite_d_entretien";"woopets_cout_de_l_entretien";"woopets_perte_de_poils";"woopets_niveau_de_bave";"woopets_facilite_a_toiletter";"woopets_sportif";"woopets_niveau_d_energie";"woopets_potentiel_a_jouer";"woopets_caractere_du_maitre";"wamiz_identifiant";"wamiz_id";"wamiz_nom";"wamiz_affectueux";"wamiz_facile_d_entretien";"wamiz_joueur";"wamiz_facile_a_eduquer";"wamiz_calme";"wamiz_gentil_avec_enfant";"wamiz_intelligent";"wamiz_entente_avec_animaux";"wamiz_docile";"wamiz_appartement";"wamiz_propre";"wamiz_premier_chien";"wamiz_robuste_sante";"wamiz_voyage";"wamiz_supporte_solitude";"wamiz_apte_a_la_garde";"wamiz_besoin_d_exercice";"wamiz_originalite";"wamiz_fugueur";"wamiz_budget";"chien_identifiant";"chien_id";"chien_photo";"chien_nom";"chien_standard";"chien_groupe";"chien_pays";"chien_affectueux";"chien_aime_les_enfants";"chien_calme";"chien_facile_a_eduquer";"chien_joueur";"chien_peut_rester_seul";"chien_protecteur";"chien_s_entend_avec_d_autres_animaux";"chien_sociable";"chien_a_peu_besoin_d_exercice";"chien_aboie_peu";"chien_bave_peu";"chien_mange_peu";"chien_necessite_peu_d_entretien";"chien_perd_peu_ses_poils";"chien_peu_couteux_a_toiletter";"chien_peu_enclin_a_l_obesite";"chien_sante_robuste";"chien_esperance_de_vie";"chien_poids_de_la_femelle";"chien_poids_du_male";"chien_taille_de_la_femelle";"chien_taille_du_male";"chien_avec_des_enfants";"chien_comme_premier_chien";"chien_en_appartement";"chien_pour_personne_peu_disponible";"chien_pour_personne_agee";"chien_pour_petit_budget";"chien_poids_min_femelle";"chien_poids_min_male";"chien_poids_max_femelle";"chien_poids_max_male";"chien_taille_min_femelle";"chien_taille_max_femelle";"chien_taille_min_male";"chien_taille_max_male";"chien_age";"chien_fci";"fci_identifiant";"fci_id";"fci_name_en";"fci_name_fr";"fci_name_de";"fci_name_es";"fci_date_en";"fci_date_fr";"fci_date_de";"fci_date_es";"fci_date_acceptance";"fci_groupe";"fci_section";"fci_provisional";"fci_status";"fci_country";"fci_url";"fci_image";"fci_pdf"
"194";"1";"1";"259";"179";"194";"1";"1";"pointer anglais";"26";"66";"13";"179";"Pointer Anglais";"Court";"Grande-Bretagne";"Grand";"Longue";"De 20 kg à 30 kg";"De 61 cm à 66 cm";"De 25 kg à 34 kg";"De 63 cm à 69 cm";"2.5";"5";"5";"1";"4";"3";"5";"5";"3";"2";"1";"0";"0";"5";"5";"0";"5";"5";"1";"0";"0";"0";"3";"5";"4";"2";"0";"0";"0";"5";"0";"0";"Calme";"262";"259";"Pointer anglais";"3";"4";"2";"4";"3";"3";"3";"3";"2";"1";"3";"4";"4";"2";"3";"1";"4";"1";"4";"2";"247";"194";"english-pointer-anglais-194";"Pointer";"Standard FCI N°1";"Chien d’arrêt";"Royaume-Uni";"3";"4";"4";"4";"5";"4";"3";"4";"4";"2";"3";"5";"3";"4";"2";"5";"3";"4";"De 13 à 14 ans";"De 18 à 28 kilos";"De 20 à 30 kilos";"De 61 à 66 cm";"De 63 à 69 cm";"4";"4";"2";"3.5";"2.5";"4";"18";"20";"28";"30";"61";"66";"63";"69";"13.5";"1";"1";"1";"english pointer";"pointer anglais";"englischer pointer";"pointer inglés";"28/10/2009";"23/11/2009";"27/01/2010";"28/10/2009";"0";"Groupe 7";"Section 7-2";"05/03/1963";"Reconnue à titre définitif";"grande-bretagne";"http://www.fci.be/fr/nomenclature/POINTER-ANGLAIS-1.html";"http://www.fci.be/Nomenclature/Illustrations/001g07.jpg";"http://www.fci.be/Nomenclature/Standards/001g07-en.pdf"
"63";"2";"2";"278";"186";"63";"2";"2";"setter anglais";"27.5";"66.5";"12";"186";"Setter Anglais";"Long";"Royaume-Uni";"Moyen";"Longue";"De 25 kg à 30 kg";"De 61 cm à 65 cm";"De 25 kg à 30 kg";"De 65 cm à 68 cm";"3.5";"4.5";"3.5";"2.5";"1.5";"2.5";"4.5";"4";"2";"1";"4";"5";"4";"4";"4";"5";"4";"3";"1";"3";"3";"4";"3";"0";"3";"3";"3";"2";"3";"4";"4";"5";"Calme";"282";"278";"Setter anglais";"4";"3";"4";"2";"1";"3";"3";"3";"2";"1";"3";"4";"3";"2";"1";"1";"4";"1";"4";"2";"248";"63";"english-setter-anglais-63";"Setter Anglais";"Standard FCI N°2";"Chien d’arrêt";"Royaume-Uni";"5";"5";"2";"3";"5";"2";"1";"4";"5";"1";"2";"4";"2";"3";"3";"3";"1";"3";"14 ans";"De 18 à 22 kilos";"De 18 à 23 kilos";"De 61 à 65 cm";"De 65 à 68 cm";"4.5";"3.5";"1.5";"2";"2.5";"2.5";"18";"18";"22";"23";"61";"65";"65";"68";"14";"2";"2";"2";"english setter";"setter anglais";"englischer setter";"setter inglés";"28/10/2009";"23/11/2009";"27/01/2010";"28/10/2009";"0";"Groupe 7";"Section 7-2";"06/03/1963";"Reconnue à titre définitif";"grande-bretagne";"http://www.fci.be/fr/nomenclature/SETTER-ANGLAIS-2.html";"http://www.fci.be/Nomenclature/Illustrations/002g07.jpg";"http://www.fci.be/Nomenclature/Standards/002g07-en.pdf"
"339";"3";"3";NULL;NULL;"339";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"320";"339";"kerry-blue-terrier-339";"Kerry Blue Terrier";"Standard FCI N°3";"Terrier";"Irlande";"4";"4";"2";"4";"4";"3";"5";"2";"3";"2";"2";"5";"5";"1";"5";"2";"3";"3";"14 ans";"De 14 à 18 kilos";"De 15 à 18 kilos";"De 44 à 48 cm";"De 45 à 49 cm";"3.5";"3";"2";"2";"2.5";"3.5";"14";"15";"18";"18";"44";"48";"45";"49";"14";"3";"3";"3";"kerry blue terrier";"terrier kerry blue";"kerry blue terrier";"kerry blue terrier";"11/05/2005";"11/05/2005";"11/05/2005";"11/05/2005";"0";"Groupe 3";"Section 3-1";"02/04/1963";"Reconnue à titre définitif";"irlande";"http://www.fci.be/fr/nomenclature/TERRIER-KERRY-BLUE-3.html";"http://www.fci.be/Nomenclature/Illustrations/STD-ANA-fr-.jpg";"http://www.fci.be/Nomenclature/Standards/003g03-en.pdf"
"144";"4";"4";"89";"92";"144";"3";"4";"cairn terrier";"7";"29.5";"13";"92";"Cairn Terrier";"Mi-long";"Grande-Bretagne";"Petit";"Carrée";"De 6 kg à 7 kg";"De 26 cm à 30 cm";"De 6 kg à 7 kg";"De 28 cm à 31 cm";"2.5";"1.5";"3";"3";"4.5";"2.5";"4";"3";"2";"2";"3";"0";"0";"1";"2";"0";"4";"2";"3";"0";"0";"0";"4";"5";"2";"3";"0";"0";"0";"4";"0";"0";"Calme";"92";"89";"Cairn Terrier";"4";"2";"4";"2";"1";"4";"3";"4";"2";"3";"3";"3";"4";"4";"3";"2";"3";"1";"4";"3";"142";"144";"cairn-terrier-144";"Cairn Terrier";"Standard FCI N°4";"Terrier";"Royaume-Uni";"4";"5";"2";"3";"5";"3";"1";"2";"2";"3";"1";"5";"4";"2";"4";"5";"3";"4";"De 13 à 15 ans";"De 6 à 7 kilos";"De 6 à 7 kilos";"De 26 à 30 cm";"De 28 à 31 cm";"3.5";"3";"2";"2.5";"2.5";"4";"6";"6";"7";"7";"26";"30";"28";"31";"14";"4";"4";"4";"cairn terrier";"cairn terrier";"cairn terrier";"cairn terrier";"12/03/1998";"12/03/1998";"12/03/1998";"12/03/1998";"0";"Groupe 3";"Section 3-2";"06/04/1963";"Reconnue à titre définitif";"grande-bretagne";"http://www.fci.be/fr/nomenclature/CAIRN-TERRIER-4.html";"http://www.fci.be/Nomenclature/Illustrations/004g03.jpg";"http://www.fci.be/Nomenclature/Standards/004g03-en.pdf"
"26";"5";"5";"151";"117";"26";"4";"5";"cocker spaniel anglais";"13.5";"40";"13";"117";"Cocker Anglais";"Mi-long";"Angleterre";"Moyen";"Longue";"De 12 kg à 14 kg";"De 38 cm à 39 cm";"De 12 kg à 14 kg";"De 39 cm à 41 cm";"3";"4";"3";"3";"4.5";"2.5";"4";"4";"3";"2";"3";"0";"0";"4";"4";"0";"5";"1";"3";"0";"0";"0";"4";"5";"3";"2";"0";"0";"0";"4";"0";"0";"Calme";"154";"151";"Cocker anglais";"4";"2";"4";"3";"3";"4";"4";"3";"1";"4";"3";"4";"3";"3";"1";"2";"4";"1";"2";"2";"223";"26";"cocker-spaniel-anglais-26";"Cocker Anglais";"Standard FCI N°5";"Chien rapporteur de gibier - Chien leveur de gibier - Chien d’eau";"Royaume-Uni";"4";"5";"4";"4";"5";"2";"2";"5";"5";"2";"3";"5";"2";"3";"3";"2";"2";"4";"De 16 à 17 ans";"De 11 à 12 kilos";"De 10 à 13 kilos";"De 34 à 36 cm";"De 37 à 39 cm";"4.5";"4";"2.5";"2.5";"3";"2.5";"11";"10";"12";"13";"34";"36";"37";"39";"16.5";"5";"5";"5";"english cocker spaniel";"cocker spaniel anglais";"english cocker spaniel";"cocker spaniel inglés";"23/11/2012";"06/12/2012";"23/11/2012";"23/11/2012";"0";"Groupe 8";"Section 8-2";"10/04/1963";"Reconnue à titre définitif";"grande-bretagne";"http://www.fci.be/fr/nomenclature/COCKER-SPANIEL-ANGLAIS-5.html";"http://www.fci.be/Nomenclature/Illustrations/005g08.jpg";"http://www.fci.be/Nomenclature/Standards/005g08-en.pdf"
"201";"6";"6";"279";"187";"201";"5";"6";"setter gordon";"29";"66";"11";"187";"Setter Gordon";"Mi-long";"Grande-Bretagne";"Grand";"Longue";"De 25 kg à 30 kg";"De 56 cm à 62 cm";"De 25 kg à 30 kg";"De 58 cm à 64 cm";"3";"3.5";"2.5";"1";"4";"2.5";"4";"4";"2";"4";"2";"0";"0";"3";"4";"0";"3";"2";"1";"0";"0";"0";"3";"5";"3";"2";"0";"0";"0";"4";"0";"0";"Calme";"283";"279";"Setter Gordon";"4";"3";"4";"2";"2";"3";"3";"2";"2";"3";"3";"4";"3";"2";"2";"2";"4";"1";"4";"2";"421";"201";"setter-gordon-201";"Setter Gordon";"Standard FCI N°6";"Chien d’arrêt";"Royaume-Uni";"5";"4";"2";"3";"5";"2";"3";"4";"3";"1";"3";"3";"2";"3";"3";"2";"3";"3";"13 ans";"De 25 à 25 kilos";"De 29 à 29 kilos";"De 62 à 62 cm";"De 66 à 66 cm";"4";"3";"1.5";"2";"2.5";"2.5";"25";"29";"25";"29";"62";"62";"66";"66";"13";"6";"6";"6";"gordon setter";"setter gordon";"gordon setter";"gordon setter";"01/06/2016";"02/06/2016";"02/06/2016";"02/06/2016";"0";"Groupe 7";"Section 7-2";"28/05/1963";"Reconnue à titre définitif";"grande-bretagne";"http://www.fci.be/fr/nomenclature/SETTER-GORDON-6.html";"http://www.fci.be/Nomenclature/Illustrations/006g07.jpg";"http://www.fci.be/Nomenclature/Standards/006g07-en.pdf"
"102";"7";"7";"2";"2";"102";"6";"7";"airedale terrier";"26";"59.5";"11";"2";"Airedale Terrier";"Mi-long";"Grande-Bretagne";"Moyen";"Longue";"De 17 kg à 22 kg";"De 56 cm à 59 cm";"De 18 kg à 24 kg";"De 58 cm à 61 cm";"3.5";"2.5";"2";"2.5";"2.5";"1.5";"4.5";"3";"2";"4";"3";"5";"4";"4";"1";"3";"3";"1";"3";"2";"3";"3";"4";"1";"1";"2";"2";"1";"3";"4";"5";"5";"Calme";"2";"2";"Airedale Terrier";"3";"2";"4";"1";"3";"4";"2";"3";"2";"4";"3";"4";"4";"2";"3";"2";"4";"2";"3";"1";"3";"102";"airedale-terrier-102";"Airedale Terrier";"Standard FCI N°7";"Terrier";"Royaume-Uni";"4";"4";"3";"3";"5";"3";"4";"3";"3";"2";"3";"5";"2";"3";"5";"3";"2";"3";"11 ans et 2 mois";"De 17 à 20 kilos";"De 18 à 22 kilos";"De 56 à 59 cm";"De 58 à 61 cm";"4";"3";"2.5";"3";"2.5";"2.5";"17";"18";"20";"22";"56";"59";"58";"61";"11.1667";"7";"7";"7";"airedale terrier";"airedale terrier";"airedale terrier";"airedale terrier";"22/11/2012";"22/11/2012";"27/05/2014";"22/11/2012";"0";"Groupe 3";"Section 3-1";"28/05/1963";"Reconnue à titre définitif";"grande-bretagne";"http://www.fci.be/fr/nomenclature/AIREDALE-TERRIER-7.html";"http://www.fci.be/Nomenclature/Illustrations/007g03.jpg";"http://www.fci.be/Nomenclature/Standards/007g03-en.pdf"
"365";"8";"8";"304";NULL;"365";"7";"8";"terrier australien";"6";"25";"13";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"308";"304";"Terrier australien";"3";"1";"4";"3";"2";"4";"3";"3";"2";"3";"3";"3";"3";"4";"3";"1";"3";"2";"1";"3";"26";"365";"australian-terrier-australien-365";"Terrier Australien";"Standard FCI N°8";"Terrier";"Australie";"3";"4";"2";"3";"4";"3";"4";"4";"3";"3";"1";"5";"5";"4";"4";"4";"3";"4";"De 14 à 15 ans";"De 3 à 6 kilos";"De 3 à 6 kilos";"De 24 à 25 cm";"De 24 à 25 cm";"3.5";"3.5";"2";"3";"3";"4";"3";"3";"6";"6";"24";"25";"24";"25";"14.5";"8";"8";"8";"australian terrier";"australian terrier";"australian terrier";"australian terrier";"05/12/2012";"06/12/2012";"05/09/2013";"05/12/2012";"0";"Groupe 3";"Section 3-2";"20/06/1963";"Reconnue à titre définitif";"australie";"http://www.fci.be/fr/nomenclature/AUSTRALIAN-TERRIER-8.html";"http://www.fci.be/Nomenclature/Illustrations/008g03.jpg";"http://www.fci.be/Nomenclature/Standards/008g03-en.pdf"
"71";"9";"9";"21";"23";"71";"8";"9";"bedlington terrier";"9";"41";"13";"23";"Bedlington Terrier";"Frisé";"Grande-Bretagne";"Petit";"Longue";"De 8 kg à 10 kg";"De 34 cm à 44 cm";"De 8 kg à 10 kg";"De 35 cm à 45 cm";"4";"3.5";"3.5";"3.5";"3";"2.5";"4.5";"5";"4";"3";"3";"5";"4";"4";"2";"5";"4";"3";"3";"4";"3";"4";"4";"2";"4";"3";"5";"1";"1";"4";"4";"5";"Calme";"23";"21";"Bedlington Terrier";"3";"1";"3";"2";"4";"3";"3";"3";"2";"3";"2";"2";"4";"3";"3";"3";"2";"4";"2";"2";"48";"71";"bedlington-terrier-71";"Bedlington Terrier";"Standard FCI N°9";"Terrier";"Royaume-Uni";"4";"4";"4";"3";"4";"3";"1";"2";"4";"3";"4";"5";"4";"1";"5";"1";"3";"4";"15 ans";"De 7 à 10 kilos";"De 8 à 11 kilos";"De 34 à 44 cm";"De 35 à 45 cm";"3.5";"3";"3";"3";"3";"3";"7";"8";"10";"11";"34";"44";"35";"45";"15";"9";"9";"9";"bedlington terrier";"bedlington terrier";"bedlington terrier";"bedlington terrier";"05/01/2011";"19/09/2012";"05/01/2011";"05/01/2011";"0";"Groupe 3";"Section 3-1";"20/06/1963";"Reconnue à titre définitif";"grande-bretagne";"http://www.fci.be/fr/nomenclature/BEDLINGTON-TERRIER-9.html";"http://www.fci.be/Nomenclature/Illustrations/009g03.jpg";"http://www.fci.be/Nomenclature/Standards/009g03-en.pdf"
"129";"10";"10";"55";"61";"129";"9";"10";"border terrier";"6";"38";"12";"61";"Border Terrier";"Mi-long";"Grande-Bretagne";"Petit";"Carrée";"De 5 kg à 7 kg";"De 33 cm à 36 cm";"De 6 kg à 7 kg";"De 37 cm à 40 cm";"2.5";"4";"3";"3";"2";"2.5";"4.5";"4";"2";"2";"3";"5";"1";"4";"3";"5";"4";"2";"2";"3";"3";"4";"4";"0";"3";"2";"3";"1";"2";"4";"4";"5";"Calme";"58";"55";"Border Terrier";"2";"4";"4";"2";"3";"1";"2";"1";"2";"1";"3";"2";"4";"4";"2";"2";"3";"3";"3";"2";"100";"129";"border-terrier-129";"Border Terrier";"Standard FCI N°10";"Terrier";"Royaume-Uni";"5";"4";"4";"3";"5";"2";"1";"2";"2";"3";"4";"5";"4";"4";"5";"3";"1";"4";"De 12 à 14 ans";"De 5 à 6 kilos";"De 5 à 7 kilos";"De 33 à 36 cm";"De 37 à 40 cm";"4";"3.5";"3";"3.5";"3.5";"3";"5";"5";"6";"7";"33";"36";"37";"40";"13";"10";"10";"10";"border terrier";"border terrier";"border terrier";"border terrier";"03/12/1998";"27/04/1998";"27/04/1998";"03/12/1998";"0";"Groupe 3";"Section 3-1";"26/06/1963";"Reconnue à titre définitif";"grande-bretagne";"http://www.fci.be/fr/nomenclature/BORDER-TERRIER-10.html";"http://www.fci.be/Nomenclature/Illustrations/010g03.jpg";"http://www.fci.be/Nomenclature/Standards/010g03-en.pdf"
