Espece,Info,Race,Categorie,URL
chat,abyssin.jpg,Abyssin,chat,https://i.imgur.com/AAxYUm0.jpg
chat,american-bobtail.jpg,American Bobtail,chat,https://i.imgur.com/zgoGPaB.jpg
chat,american-curl.jpg,American Curl,chat,https://i.imgur.com/eWTk90s.jpg
chat,american-shortair.jpg,American Shorthair,chat,https://i.imgur.com/gDhdGvn.jpg
chat,american-wirehair.jpg,American Wirehair,chat,https://i.imgur.com/17VOUOK.jpg
chat,angora-turc.jpg,Angora Turc,chat,https://i.imgur.com/F9Ac2zK.jpg
chat,balinais.jpg,Balinais,chat,https://i.imgur.com/nf7I6gu.jpg
chat,bengal.jpg,Bengal,chat,https://i.imgur.com/ltrXe8O.jpg
chat,bleu-russe.jpg,Bleu Russe,chat,https://i.imgur.com/fl87NNt.jpg
chat,bombay.jpg,Bombay,chat,https://i.imgur.com/oVSWoS1.jpg
chat,british-shorthair.jpg,British Shorthair,chat,https://i.imgur.com/zthLEJz.jpg
chat,burmese.jpg,Burmese,chat,https://i.imgur.com/ygzCS2y.jpg
chat,burmilla.jpg,Burmilla,chat,https://i.imgur.com/ddh8xYc.jpg
chat,ceylan.jpg,Ceylan,chat,https://i.imgur.com/NSir0xB.jpg
chat,chartreux.jpg,Chartreux,chat,https://i.imgur.com/Y2kfdZG.jpg
chat,chausie.jpg,Chausie,chat,https://i.imgur.com/1ywZQCY.jpg
chat,cornish-rex.jpg,Cornish Rex,chat,https://i.imgur.com/aR0CCjm.jpg
chat,devon-rex.jpg,Devon Rex,chat,https://i.imgur.com/IcPgnQC.jpg
chat,donskoy.jpg,Donskoy,chat,https://i.imgur.com/6h6nTI1.jpg
chat,europeen.jpg,Européen,chat,https://i.imgur.com/e60FmHY.jpg
chat,exotic.jpg,Exotic,chat,https://i.imgur.com/wvcxtfJ.jpg
chat,german-rex.jpg,German Rex,chat,https://i.imgur.com/1Dhm3Si.jpg
chat,havana-brown.jpg,Havana Brown,chat,https://i.imgur.com/v7NmdOM.jpg
chat,highland-lynx.jpg,Highland Lynx,chat,https://i.imgur.com/fixAoDy.jpg
chat,japanese-bobtail.jpg,Japanese Bobtail,chat,https://i.imgur.com/UnQ5log.jpg
chat,javanais.jpg,Javanais,chat,https://i.imgur.com/QViUIft.jpg
chat,korat.jpg,Korat,chat,https://i.imgur.com/b8l42VV.jpg
chat,kurilian-bobtail.jpg,Kurilian Bobtail,chat,https://i.imgur.com/lH7l9YG.jpg
chat,laperm.jpg,LaPerm,chat,https://i.imgur.com/aaULkSo.jpg
chat,maine-coon.jpg,Maine Coon,chat,https://i.imgur.com/hy8UXDI.jpg
chat,manx.jpg,Manx,chat,https://i.imgur.com/f1ndxEC.jpg
chat,mau-egyptien.jpg,Mau Egyptien,chat,https://i.imgur.com/YjDoVK9.jpg
chat,munchkin.jpg,Munchkin,chat,https://i.imgur.com/UdVtOZf.jpg
chat,norvegien.jpg,Norvégien,chat,https://i.imgur.com/00h21Cb.jpg
chat,ocicat.jpg,Ocicat,chat,https://i.imgur.com/KxCDpNh.jpg
chat,oriental.jpg,Oriental,chat,https://i.imgur.com/xA4mhcZ.jpg
chat,persan.jpg,Persan,chat,https://i.imgur.com/N2wq3QG.jpg
chat,peterbald.jpg,Peterbald,chat,https://i.imgur.com/DheIRdq.jpg
chat,pixie-bob.jpg,Pixie-Bob,chat,https://i.imgur.com/nGVNR4e.jpg
chat,ragdoll.jpg,Ragdoll,chat,https://i.imgur.com/srBKuvi.jpg
chat,sacre-birmanie.jpg,Sacré de Birmanie,chat,https://i.imgur.com/97KEYsu.jpg
chat,savannah.jpg,Savannah,chat,https://i.imgur.com/IrFEXsi.jpg
chat,scottish-fold.jpg,Scottish & Highland,chat,https://i.imgur.com/rwflBUd.jpg
chat,scottish-highland.jpg,Scottish Fold,chat,https://i.imgur.com/rC0IvIP.jpg
chat,siamois.jpg,Siamois,chat,https://i.imgur.com/Dgak5bx.jpg
chat,siberien.jpg,Sibérien,chat,https://i.imgur.com/JOuz1ui.jpg
chat,singapura.jpg,Singapura,chat,https://i.imgur.com/7S7zIhW.jpg
chat,skogcatt.jpg,Skogcatt,chat,https://i.imgur.com/1nQdhU0.jpg
chat,snowshoe.jpg,Snowshoe,chat,https://i.imgur.com/7ZzpRmU.jpg
chat,somali.jpg,Somali,chat,https://i.imgur.com/vsmh1sE.jpg
chat,sphynx.jpg,Sphynx,chat,https://i.imgur.com/mhtI98S.jpg
chat,thai.jpg,Thaï,chat,https://i.imgur.com/ZQlndIB.jpg
chat,tiffany.jpg,Tiffany,chat,https://i.imgur.com/yOHA6PB.jpg
chat,tonkinois.jpg,Tonkinois,chat,https://i.imgur.com/HTENsXA.jpg
chat,toyger.jpg,Toyger,chat,https://i.imgur.com/Pxq09nU.jpg
chat,turc-van.jpg,Turc de Van,chat,https://i.imgur.com/aJhnr6t.jpg
chien,186,Affenpinscher,Groupe 2,https://i.imgur.com/XfgVSQa.jpg
chien,247,Aïdi,Groupe 2,https://i.imgur.com/A8l2Tdm.jpg
chien,7,Airedale Terrier,Groupe 3,https://i.imgur.com/nnppUnN.jpg
chien,255,Akita Inu,Groupe 5,https://i.imgur.com/wv2x2cN.jpg
chien,243,Malamute d'Alaska,Groupe 5,https://i.imgur.com/xVYYswq.jpg
chien,344,Akita Américain,Groupe 5,https://i.imgur.com/zxgoFJv.jpg
chien,167,Cocker Américain,Groupe 8,https://i.imgur.com/cA3KMAf.jpg
chien,301,Épagneul d'Eau Américain,Groupe 8,https://i.imgur.com/kOydFrQ.jpg
chien,286,American Staffordshire Terrier,Groupe 3,https://i.imgur.com/2ZGAdXb.jpg
chien,325,Anglo-Français de Petite Vénerie,Groupe 6,https://i.imgur.com/AQSjokt.jpg
chien,20,Ariégeois,Groupe 6,https://i.imgur.com/353XHjY.jpg
chien,293,Kelpie Australien,Groupe 1,https://i.imgur.com/WiX6yzk.jpg
chien,236,Silky Terrier,Groupe 3,https://i.imgur.com/Nb13QXT.jpg
chien,351,Bouvier Australien Courte Queue,Groupe 1,https://i.imgur.com/abQtXK4.jpg
chien,8,Terrier Australien,Groupe 3,https://i.imgur.com/1ej7QUz.jpg
chien,307,Azawakh,Groupe 10,https://i.imgur.com/u8prDis.jpg
chien,358,Bangkaew de Thaïlande,Groupe 5,https://i.imgur.com/iVSFwGN.jpg
chien,155,Chien Courant de Bosnie à Poil Raide,Groupe 6,https://i.imgur.com/iVUbDfv.jpg
chien,105,Barbet,Groupe 8,https://i.imgur.com/vEf2DRI.jpg
chien,245,Barbu Tchèque,Groupe 7,https://i.imgur.com/UqyWFUt.jpg
