Id,CJ,Points
#7403,Club Jeunes de Puech de Barret - Le Garric,4347
#0084,Club Jeunes de Châteaubourg,3487
#1221,Club Jeunes de Chameyrat,2491
#4741,Club Jeunes de Luynes,2258
#9861,Club Jeunes de Puech de Barret - Le Garric,1768
#4290,Club Jeunes de Luynes,1660
#7963,Club Jeunes de Cluses,1656
#1871,Club Jeunes de Bordeaux,1595
#7445,Club Jeunes d'Yvré-l'Evêque,1553
#1974,Club Jeunes de Vaux-le-Pénil,934
#7758,Club Jeunes de Châteaubourg,796
#3516,Club Jeunes de Saint Pierre du Mont,0
#0749,Club Jeunes de Laon,0
