Username,CJ,Points
#7403,Club Jeunes de Puech de Barret - Le Garric,15927
#8914,Club Jeunes de Cholet,15702
#9861,Club Jeunes de Puech de Barret - Le Garric,15676
#6617,Club Jeunes de Pornic,15393
#8969,Club Jeunes de la Roche-sur-Yon,15258
#5676,Club Jeunes de Chamarande,13950
#1284,Club Jeunes de Saint Pierre du Mont,13348
#0489,Club Jeunes d'Yvré-l'Evêque,11057
#1398,Club Jeunes de Briançon,10068
#8476,Club Jeunes de Vaux-le-Pénil,8796
#4290,Club Jeunes de Luynes,6400
#1974,Club Jeunes de Vaux-le-Pénil,2327
#1221,Club Jeunes de Chameyrat,1575
