Username,CJ,Points
#7403,Club Jeunes de Puech de Barret - Le Garric,927
#0489,Club Jeunes d'Yvré-l'Evêque,921
#1398,Club Jeunes de Briançon,917
#8969,Club Jeunes de la Roche-sur-Yon,916
#8914,Club Jeunes de Cholet,911
#6617,Club Jeunes de Pornic,905
#5676,Club Jeunes de Chamarande,899
#8476,Club Jeunes de Vaux-le-Pénil,882
#4290,Club Jeunes de Luynes,879
#1284,Club Jeunes de Saint Pierre du Mont,755
#9861,Club Jeunes de Puech de Barret - Le Garric,657
#1974,Club Jeunes de Vaux-le-Pénil,0
#1221,Club Jeunes de Chameyrat,0
