Id,CJ,Points
#9861,Club Jeunes de Puech de Barret - Le Garric,907
#8914,Club Jeunes de Cholet,906
#6617,Club Jeunes de Pornic,882
#1284,Club Jeunes de Saint Pierre du Mont,863
#7403,Club Jeunes de Puech de Barret - Le Garric,856
#1398,Club Jeunes de Briançon,838
#4290,Club Jeunes de Luynes,784
#5676,Club Jeunes de Chamarande,768
#8969,Club Jeunes de la Roche-sur-Yon,0
#8476,Club Jeunes de Vaux-le-Pénil,0
#1974,Club Jeunes de Vaux-le-Pénil,0
#1221,Club Jeunes de Chameyrat,0
#0489,Club Jeunes d'Yvré-l'Evêque,0
