Id,CJ,Points
#4290,Club Jeunes de Luynes,56471
#0489,Club Jeunes d'Yvré-l'Evêque,47502
#1398,Club Jeunes de Briançon,45577
#0084,Club Jeunes de Châteaubourg,43285
#9861,Club Jeunes de Puech de Barret - Le Garric,43160
#1284,Club Jeunes de Saint Pierre du Mont,37574
#7758,Club Jeunes de Châteaubourg,36692
#3516,Club Jeunes de Saint Pierre du Mont,33243
#7403,Club Jeunes de Puech de Barret - Le Garric,32682
#1974,Club Jeunes de Vaux-le-Pénil,27094
#6617,Club Jeunes de Pornic,26178
#8969,Club Jeunes de la Roche-sur-Yon,24211
#7963,Club Jeunes de Cluses,20998
#9965,Club Jeunes de Saint-Omer,19672
#1221,Club Jeunes de Chameyrat,17936
#7851,Club Jeunes de Sarreguemines,17077
#7903,Club Jeunes de Châteaubourg,17062
#5676,Club Jeunes de Chamarande,16279
#8914,Club Jeunes de Cholet,15702
#4741,Club Jeunes de Luynes,13292
#3239,Club Jeunes d'Yvré-l'Evêque,12256
#1683,Club Jeunes de Plaisir,9107
#1871,Club Jeunes de Bordeaux,8973
#8476,Club Jeunes de Vaux-le-Pénil,8796
#7445,Club Jeunes d'Yvré-l'Evêque,8001
#4125,Club Jeunes de Chamarande,7657
#0749,Club Jeunes de Laon,7176
#0184,Club Jeunes de Saint-Omer,4457
#3918,Club Jeunes de Rennes,3805
#0978,Club Jeunes de la Roche-sur-Yon,1171
