Id,CJ,Points
#3516,Club Jeunes de Saint Pierre du Mont,22221
#0084,Club Jeunes de Châteaubourg,21267
#7403,Club Jeunes de Puech de Barret - Le Garric,16755
#0489,Club Jeunes d'Yvré-l'Evêque,13065
#4290,Club Jeunes de Luynes,12915
#9861,Club Jeunes de Puech de Barret - Le Garric,12318
#7963,Club Jeunes de Cluses,11240
#1398,Club Jeunes de Briançon,9759
#1974,Club Jeunes de Vaux-le-Pénil,9474
#7758,Club Jeunes de Châteaubourg,9143
#1871,Club Jeunes de Bordeaux,8973
#8969,Club Jeunes de la Roche-sur-Yon,8953
#7445,Club Jeunes d'Yvré-l'Evêque,8001
#4125,Club Jeunes de Chamarande,7657
#0749,Club Jeunes de Laon,7176
#1221,Club Jeunes de Chameyrat,6549
#0184,Club Jeunes de Saint-Omer,4457
#7903,Club Jeunes de Châteaubourg,4414
#1284,Club Jeunes de Saint Pierre du Mont,4182
#4741,Club Jeunes de Luynes,3950
#3918,Club Jeunes de Rennes,3805
#9965,Club Jeunes de Saint-Omer,3618
#6617,Club Jeunes de Pornic,2851
#5676,Club Jeunes de Chamarande,2329
#0978,Club Jeunes de la Roche-sur-Yon,1171
