Username,CJ,Points
#4290,Club Jeunes de Luynes,43556
#1398,Club Jeunes de Briançon,35818
#0489,Club Jeunes d'Yvré-l'Evêque,34437
#1284,Club Jeunes de Saint Pierre du Mont,33392
#9861,Club Jeunes de Puech de Barret - Le Garric,30842
#7758,Club Jeunes de Châteaubourg,27549
#6617,Club Jeunes de Pornic,23327
#0084,Club Jeunes de Châteaubourg,22018
#1974,Club Jeunes de Vaux-le-Pénil,17620
#7851,Club Jeunes de Sarreguemines,17077
#9965,Club Jeunes de Saint-Omer,16054
#7403,Club Jeunes de Puech de Barret - Le Garric,15927
#8914,Club Jeunes de Cholet,15702
#8969,Club Jeunes de la Roche-sur-Yon,15258
#5676,Club Jeunes de Chamarande,13950
#7903,Club Jeunes de Châteaubourg,12648
#3239,Club Jeunes d'Yvré-l'Evêque,12256
#1221,Club Jeunes de Chameyrat,11387
#3516,Club Jeunes de Saint Pierre du Mont,11022
#7963,Club Jeunes de Cluses,9758
#4741,Club Jeunes de Luynes,9342
#1683,Club Jeunes de Plaisir,9107
#8476,Club Jeunes de Vaux-le-Pénil,8796
