,CJ,Points
0,Club Jeunes de Châteaubourg,49567
1,Club Jeunes de Vaux-le-Pénil,26416
2,Club Jeunes de Saint Pierre du Mont,44414
3,Club Jeunes de Puech de Barret - Le Garric,46769
4,Club Jeunes de Luynes,52898
5,Club Jeunes d'Yvré-l'Evêque,46693
6,Club Jeunes de la Roche-sur-Yon,15258
7,Club Jeunes de Sarreguemines,17077
8,Club Jeunes de Saint-Omer,16054
9,Club Jeunes de Pornic,23327
10,Club Jeunes de Plaisir,9107
11,Club Jeunes de Cluses,9758
12,Club Jeunes de Cholet,15702
13,Club Jeunes de Chameyrat,11387
14,Club Jeunes de Chamarande,13950
15,Club Jeunes de Briançon,35818
