CJ,Username
Club Jeunes d'Yvré-l'Evêque,3
Club Jeunes de Châteaubourg,3
Club Jeunes de Puech de Barret - Le Garric,2
Club Jeunes de Chamarande,2
Club Jeunes de Vaux-le-Pénil,2
Club Jeunes de la Roche-sur-Yon,2
Club Jeunes de Saint Pierre du Mont,2
Club Jeunes de Saint-Omer,2
Club Jeunes de Luynes,2
Club Jeunes de Rennes,1
Club Jeunes de Pornic,1
Club Jeunes de Plaisir,1
Club Jeunes de Laon,1
Club Jeunes de Cluses,1
Club Jeunes de Cholet,1
Club Jeunes de Chameyrat,1
Club Jeunes de Sarreguemines,1
Club Jeunes de Briançon,1
Club Jeunes de Bordeaux,1
