Username,Points
#0749,897.0
#1974,874.0
#8914,872.3333333333334
#8969,864.6785714285714
#0489,863.6727272727272
#5676,856.7894736842105
#7851,853.85
#4125,850.7777777777778
#1398,844.0185185185185
#7403,838.0
#7758,833.9090909090909
#0084,832.4038461538462
#3516,831.075
#1683,827.9090909090909
#9965,819.6666666666666
#6617,818.0625
#9861,814.3396226415094
#7445,800.1
#1284,782.7916666666666
#1221,779.8260869565217
#7903,775.5454545454545
#3239,766.0
#3918,761.0
#7963,749.9285714285714
#4290,743.0394736842105
#0184,742.8333333333334
#4741,738.4444444444445
#8476,733.0
#1871,690.2307692307693
#0978,585.5
