Username,Time
#0978,12.936812333333334
#0184,11.334798749999997
#1871,11.081912833333334
#3918,10.692322153846154
#4741,10.452778161290324
#4290,10.305433877862594
#8476,9.824392944444446
#3239,9.605334333333333
#4125,9.480762250000002
#7963,9.479242207547168
#7903,8.774477257142856
#0749,8.70757875
#1284,8.307154624999997
#9861,8.10451508974359
#1221,7.876408510204078
#1398,7.826931977011496
#9965,7.81288627272727
#8969,7.77789908888889
#7445,7.5545199999999975
#3516,7.47822634920635
#6617,7.432551222222222
#0084,7.346920048076924
#1683,7.0272375600000005
#7403,6.727476703703705
#0489,6.5308150879120905
#7758,6.381502202380951
#5676,6.360148931034483
#7851,6.2730716399999995
#1974,5.40200352631579
#8914,5.335469
