,activity,application,attachments,author,call,channel,channel_mentions,clean_content,content,created_at,edited_at,embeds,flags,guild,id,jump_url,mention_everyone,mentions,nonce,pinned,raw_channel_mentions,raw_mentions,raw_role_mentions,reactions,reference,role_mentions,stickers,system_content,tts,type,webhook_id
0,,,[],Reale COUCHAUX#6300,,annonces-importantes,[<TextChannel id=806141689755336714 name='campagnes-spa' position=4 nsfw=False news=False category_id=819893309753131049>],L'annonce vient de paraître dans le salon #campagnes-spa . A vous de jouer pour nous  décrire votre monde d'après avec les animaux et tenter de remporter un prix SPA;-),L'annonce vient de paraître dans le salon <#806141689755336714> . A vous de jouer pour nous  décrire votre monde d'après avec les animaux et tenter de remporter un prix SPA;-),2021-04-06 15:22:15.559,,[],<MessageFlags value=0>,Clubs Jeunes SPA,829013142784704583,https://discord.com/channels/806137569116291102/806137569116291106/829013142784704583,False,[],,False,[806141689755336714],[],[],[],,[],[],L'annonce vient de paraître dans le salon <#806141689755336714> . A vous de jouer pour nous  décrire votre monde d'après avec les animaux et tenter de remporter un prix SPA;-),False,MessageType.default,
1,,,[],Reale COUCHAUX#6300,,annonces-importantes,[<TextChannel id=806141689755336714 name='campagnes-spa' position=4 nsfw=False news=False category_id=819893309753131049>],"Bonsoir à tous ! Une annonce importante sera faite en début de semaine prochaine dans le salon #campagnes-spa , avec à la clé des cadeaux à gagner 🎁  Je ne vous en dit pas plus, et je vous souhaite à tous un bon WE de Pâques 🙂 A la semaine prochaine !😉","Bonsoir à tous ! Une annonce importante sera faite en début de semaine prochaine dans le salon <#806141689755336714> , avec à la clé des cadeaux à gagner 🎁  Je ne vous en dit pas plus, et je vous souhaite à tous un bon WE de Pâques 🙂 A la semaine prochaine !😉",2021-04-02 17:43:47.803,,[],<MessageFlags value=0>,Clubs Jeunes SPA,827599210374758410,https://discord.com/channels/806137569116291102/806137569116291106/827599210374758410,False,[],,False,[806141689755336714],[],[],"[<Reaction emoji='👍' me=False count=10>, <Reaction emoji='\U0001f929' me=False count=9>]",,[],[],"Bonsoir à tous ! Une annonce importante sera faite en début de semaine prochaine dans le salon <#806141689755336714> , avec à la clé des cadeaux à gagner 🎁  Je ne vous en dit pas plus, et je vous souhaite à tous un bon WE de Pâques 🙂 A la semaine prochaine !😉",False,MessageType.default,
2,,,[],Reale COUCHAUX#6300,,annonces-importantes,[],"Bonsoir à tous. Je vous mets donc ici la mauvaise nouvelle du report de la réouverture des clubs jeunes suite aux annonces gouvernementales  de la semaine dernière 😢  Il va falloir encore s'armer de patience, et, de notre côté, nous allons tâcher de vous proposer ici des activités qui permettront de garder un lien,et de continuer malgré tout à s'engager dans la protection des animaux. Je suis sincèrement désolé de cette mauvaise nouvelle, et je compte sur vous pour continuer à échanger ici 😉","Bonsoir à tous. Je vous mets donc ici la mauvaise nouvelle du report de la réouverture des clubs jeunes suite aux annonces gouvernementales  de la semaine dernière 😢  Il va falloir encore s'armer de patience, et, de notre côté, nous allons tâcher de vous proposer ici des activités qui permettront de garder un lien,et de continuer malgré tout à s'engager dans la protection des animaux. Je suis sincèrement désolé de cette mauvaise nouvelle, et je compte sur vous pour continuer à échanger ici 😉",2021-03-23 19:05:37.122,,[],<MessageFlags value=0>,Clubs Jeunes SPA,823995922894684231,https://discord.com/channels/806137569116291102/806137569116291106/823995922894684231,False,[],,False,[],[],[],"[<Reaction emoji='😢' me=False count=6>, <Reaction emoji='😭' me=False count=12>, <Reaction emoji='😔' me=False count=3>, <Reaction emoji='😫' me=False count=2>]",,[],[],"Bonsoir à tous. Je vous mets donc ici la mauvaise nouvelle du report de la réouverture des clubs jeunes suite aux annonces gouvernementales  de la semaine dernière 😢  Il va falloir encore s'armer de patience, et, de notre côté, nous allons tâcher de vous proposer ici des activités qui permettront de garder un lien,et de continuer malgré tout à s'engager dans la protection des animaux. Je suis sincèrement désolé de cette mauvaise nouvelle, et je compte sur vous pour continuer à échanger ici 😉",False,MessageType.default,
3,,,[],Reale COUCHAUX#6300,,annonces-importantes,[],Voici le lien pour rejoindre la vision qui démarrera à 18H30 : https://teams.microsoft.com/l/meetup-join/19%3ameeting_OTJlOGUwNmItZWM3OS00MGMxLWFhOWMtYTUzZWNhYzYzMmZk%40thread.v2/0?context=%7b%22Tid%22%3a%229692a3d3-2a08-4ec8-a0bd-1db355eb4230%22%2c%22Oid%22%3a%22820ed296-b4df-4bdd-b4a0-2537c50e3f5a%22%7d,Voici le lien pour rejoindre la vision qui démarrera à 18H30 : https://teams.microsoft.com/l/meetup-join/19%3ameeting_OTJlOGUwNmItZWM3OS00MGMxLWFhOWMtYTUzZWNhYzYzMmZk%40thread.v2/0?context=%7b%22Tid%22%3a%229692a3d3-2a08-4ec8-a0bd-1db355eb4230%22%2c%22Oid%22%3a%22820ed296-b4df-4bdd-b4a0-2537c50e3f5a%22%7d,2021-03-23 17:13:56.409,,[<discord.embeds.Embed object at 0x00000239BCAEF048>],<MessageFlags value=0>,Clubs Jeunes SPA,823967818068131902,https://discord.com/channels/806137569116291102/806137569116291106/823967818068131902,False,[],,False,[],[],[],"[<Reaction emoji=<Emoji id=819884727409967115 name='laspa1' animated=False managed=False> me=False count=4>, <Reaction emoji=<Emoji id=819884727568826368 name='laspa2' animated=False managed=False> me=False count=5>, <Reaction emoji='✅' me=False count=6>]",,[],[],Voici le lien pour rejoindre la vision qui démarrera à 18H30 : https://teams.microsoft.com/l/meetup-join/19%3ameeting_OTJlOGUwNmItZWM3OS00MGMxLWFhOWMtYTUzZWNhYzYzMmZk%40thread.v2/0?context=%7b%22Tid%22%3a%229692a3d3-2a08-4ec8-a0bd-1db355eb4230%22%2c%22Oid%22%3a%22820ed296-b4df-4bdd-b4a0-2537c50e3f5a%22%7d,False,MessageType.default,
4,,,[],Reale COUCHAUX#6300,,annonces-importantes,[],https://www.facebook.com/events/763898604515380/,https://www.facebook.com/events/763898604515380/,2021-03-22 18:48:24.106,,[<discord.embeds.Embed object at 0x00000239BCAEF0D8>],<MessageFlags value=0>,Clubs Jeunes SPA,823629202246205470,https://discord.com/channels/806137569116291102/806137569116291106/823629202246205470,False,[],,False,[],[],[],[],,[],[],https://www.facebook.com/events/763898604515380/,False,MessageType.default,
5,,,[<Attachment id=823629039943548948 filename='EDHEC.jpg' url='https://cdn.discordapp.com/attachments/806137569116291106/823629039943548948/EDHEC.jpg'>],Reale COUCHAUX#6300,,annonces-importantes,[],"Bonsoir à tous. Pour celles et ceux qui sont intéressés par des échanges sur  la Protection animale, RDV demain soir (mardi 23 mars ) à 18H30 pour une petite présentation que je ferai à la demande des étudiants de l'EDHEC. Voici le lien","Bonsoir à tous. Pour celles et ceux qui sont intéressés par des échanges sur  la Protection animale, RDV demain soir (mardi 23 mars ) à 18H30 pour une petite présentation que je ferai à la demande des étudiants de l'EDHEC. Voici le lien",2021-03-22 18:47:45.460,,[],<MessageFlags value=0>,Clubs Jeunes SPA,823629040152871034,https://discord.com/channels/806137569116291102/806137569116291106/823629040152871034,False,[],,False,[],[],[],[<Reaction emoji='\U0001f970' me=False count=6>],,[],[],"Bonsoir à tous. Pour celles et ceux qui sont intéressés par des échanges sur  la Protection animale, RDV demain soir (mardi 23 mars ) à 18H30 pour une petite présentation que je ferai à la demande des étudiants de l'EDHEC. Voici le lien",False,MessageType.default,
6,,,[],Reale COUCHAUX#6300,,annonces-importantes,[],"⚠️ Hello tout le monde, n'oubliez pas notre rencontre avec l'association Animal360 ce samedi 20 mars de 15H00 à 17H00 environ. Voici le lien pour participer à ces échanges : https://zoom.us/j/96890726276?pwd=eDhvb2lBOStHbFMvNWw4T3RuZXAwUT09","⚠️ Hello tout le monde, n'oubliez pas notre rencontre avec l'association Animal360 ce samedi 20 mars de 15H00 à 17H00 environ. Voici le lien pour participer à ces échanges : https://zoom.us/j/96890726276?pwd=eDhvb2lBOStHbFMvNWw4T3RuZXAwUT09",2021-03-18 11:05:58.070,,[<discord.embeds.Embed object at 0x00000239BCAEF168>],<MessageFlags value=0>,Clubs Jeunes SPA,822063275474812928,https://discord.com/channels/806137569116291102/806137569116291106/822063275474812928,False,[],,False,[],[],[],[<Reaction emoji='👍' me=False count=8>],,[],[],"⚠️ Hello tout le monde, n'oubliez pas notre rencontre avec l'association Animal360 ce samedi 20 mars de 15H00 à 17H00 environ. Voici le lien pour participer à ces échanges : https://zoom.us/j/96890726276?pwd=eDhvb2lBOStHbFMvNWw4T3RuZXAwUT09",False,MessageType.default,
7,,,[],Alma CJ de Bordeaux#1871,,annonces-importantes,[],⚠️NE COMMENTEZ PAS L'ANNONCE ELLE RISQUE DE SE NOYER DANS LES COMMENTAIRES 😉⚠️,⚠️NE COMMENTEZ PAS L'ANNONCE ELLE RISQUE DE SE NOYER DANS LES COMMENTAIRES 😉⚠️,2021-03-08 17:55:36.921,,[],<MessageFlags value=0>,Clubs Jeunes SPA,818542487990698046,https://discord.com/channels/806137569116291102/806137569116291106/818542487990698046,False,[],,False,[],[],[],[<Reaction emoji='👍' me=False count=13>],,[],[],⚠️NE COMMENTEZ PAS L'ANNONCE ELLE RISQUE DE SE NOYER DANS LES COMMENTAIRES 😉⚠️,False,MessageType.default,
8,,,[],Reale COUCHAUX#6300,,annonces-importantes,[],SVP merci de ne pas commenter pour laisser l'annonce visible,SVP merci de ne pas commenter pour laisser l'annonce visible,2021-03-08 17:55:06.960,,[],<MessageFlags value=0>,Clubs Jeunes SPA,818542362326335508,https://discord.com/channels/806137569116291102/806137569116291106/818542362326335508,False,[],,False,[],[],[],[],,[],[],SVP merci de ne pas commenter pour laisser l'annonce visible,False,MessageType.default,
9,,,[],Reale COUCHAUX#6300,,annonces-importantes,[],"Hello les jeunes !
Avec Maria du Club Jeunes de La Roche sur Yon, nous sommes heureux de vous proposer un temps d’échange en visio avec l’association Animal360 le samedi 20 mars de 15H00 à 16H30 sur Zoom. 
Anne-laure et Pascal vous raconteront leur tour du monde de la Protection Animale. Durant deux ans, ils ont été à la rencontre d’une multitude d’associations de Protection Animale aux quatre coins du monde. 
En attendant de pouvoir échanger avec eux, vous pouvez découvrir leurs magnifiques reportages sur leur site : https://www.animal360.fr/bienvenue/ ou sur leur page Facebook Animal360.
RDV le samedi 20 mars ….bloquez la date dans votre agenda, téléchargez Zoom, et conservez le lien ci-dessous pour pouvoir accéder à la visioconférence 😉
https://zoom.us/j/96890726276?pwd=eDhvb2lBOStHbFMvNWw4T3RuZXAwUT09
A très bientôt 😊","Hello les jeunes !
Avec Maria du Club Jeunes de La Roche sur Yon, nous sommes heureux de vous proposer un temps d’échange en visio avec l’association Animal360 le samedi 20 mars de 15H00 à 16H30 sur Zoom. 
Anne-laure et Pascal vous raconteront leur tour du monde de la Protection Animale. Durant deux ans, ils ont été à la rencontre d’une multitude d’associations de Protection Animale aux quatre coins du monde. 
En attendant de pouvoir échanger avec eux, vous pouvez découvrir leurs magnifiques reportages sur leur site : https://www.animal360.fr/bienvenue/ ou sur leur page Facebook Animal360.
RDV le samedi 20 mars ….bloquez la date dans votre agenda, téléchargez Zoom, et conservez le lien ci-dessous pour pouvoir accéder à la visioconférence 😉
https://zoom.us/j/96890726276?pwd=eDhvb2lBOStHbFMvNWw4T3RuZXAwUT09
A très bientôt 😊",2021-03-08 17:50:22.095,,"[<discord.embeds.Embed object at 0x00000239BCAEF1F8>, <discord.embeds.Embed object at 0x00000239BCAEF288>]",<MessageFlags value=0>,Clubs Jeunes SPA,818541167515009045,https://discord.com/channels/806137569116291102/806137569116291106/818541167515009045,False,[],,False,[],[],[],"[<Reaction emoji='💯' me=False count=3>, <Reaction emoji='👍' me=False count=6>, <Reaction emoji='❤️' me=False count=7>, <Reaction emoji='😃' me=False count=2>, <Reaction emoji='😁' me=False count=2>, <Reaction emoji='😍' me=False count=1>]",,[],[],"Hello les jeunes !
Avec Maria du Club Jeunes de La Roche sur Yon, nous sommes heureux de vous proposer un temps d’échange en visio avec l’association Animal360 le samedi 20 mars de 15H00 à 16H30 sur Zoom. 
Anne-laure et Pascal vous raconteront leur tour du monde de la Protection Animale. Durant deux ans, ils ont été à la rencontre d’une multitude d’associations de Protection Animale aux quatre coins du monde. 
En attendant de pouvoir échanger avec eux, vous pouvez découvrir leurs magnifiques reportages sur leur site : https://www.animal360.fr/bienvenue/ ou sur leur page Facebook Animal360.
RDV le samedi 20 mars ….bloquez la date dans votre agenda, téléchargez Zoom, et conservez le lien ci-dessous pour pouvoir accéder à la visioconférence 😉
https://zoom.us/j/96890726276?pwd=eDhvb2lBOStHbFMvNWw4T3RuZXAwUT09
A très bientôt 😊",False,MessageType.default,
